InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536455,48187,DOORMAT HOME SWEET HOME,12,2009-12-01 11:40:00,7.05,12362,United Kingdom
537858,84029E,RED WOOLLY HOTTIE WHITE HEART,9,2009-12-01 12:23:00,4.06,12616,United Kingdom
537858,71053,WHITE METAL LANTERN,18,2009-12-01 12:23:00,3.72,12616,United Kingdom
537858,23203,JUMBO BAG VINTAGE DOILY,20,2009-12-01 12:23:00,2.09,12616,United Kingdom
537858,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,15,2009-12-01 12:23:00,3.74,12616,United Kingdom
537858,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,2009-12-01 12:23:00,4.38,12616,United Kingdom
537858,84406B,CREAM CUPID HEARTS COAT HANGER,14,2009-12-01 12:23:00,2.7,12616,United Kingdom
537858,84406B,CREAM CUPID HEARTS COAT HANGER,3,2009-12-01 12:23:00,2.96,12616,United Kingdom
537858,21730,GLASS STAR FROSTED T-LIGHT HOLDER,20,2009-12-01 12:23:00,4.22,12616,United Kingdom
538583,22423,REGENCY CAKESTAND 3 TIER,13,2009-12-01 12:27:00,11.96,12743,EIRE
540527,22138,BAKING SET 9 PIECE RETROSPOT,15,2009-12-01 15:35:00,5.07,13020,Netherlands
540527,22423,REGENCY CAKESTAND 3 TIER,14,2009-12-01 15:35:00,13.55,13020,Netherlands
540527,22752,SET 7 BABUSHKA NESTING BOXES,12,2009-12-01 15:35:00,8.24,13020,Netherlands
540527,22423,REGENCY CAKESTAND 3 TIER,1,2009-12-01 15:35:00,12.1,13020,Netherlands
540527,84029E,RED WOOLLY HOTTIE WHITE HEART,14,2009-12-01 15:35:00,3.96,13020,Netherlands
540768,84406B,CREAM CUPID HEARTS COAT HANGER,20,2009-12-01 15:40:00,2.72,13062,United Kingdom
540768,23298,SPACEBOY LUNCH BOX,18,2009-12-01 15:40:00,1.79,13062,United Kingdom
540768,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,19,2009-12-01 15:40:00,1.79,13062,United Kingdom
540768,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2009-12-01 15:40:00,3.47,13062,United Kingdom
540768,71053,WHITE METAL LANTERN,18,2009-12-01 15:40:00,3.39,13062,United Kingdom
540768,22960,JAM MAKING SET WITH JARS,2,2009-12-01 15:40:00,3.97,13062,United Kingdom
540768,21754,HOME BUILDING BLOCK WORD,19,2009-12-01 15:40:00,6.05,13062,United Kingdom
540801,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2009-12-02 10:54:00,1.68,13073,Spain
540801,22752,SET 7 BABUSHKA NESTING BOXES,17,2009-12-02 10:54:00,7.49,13073,Spain
540801,84029E,RED WOOLLY HOTTIE WHITE HEART,9,2009-12-02 10:54:00,3.84,13073,Spain
540801,21754,HOME BUILDING BLOCK WORD,16,2009-12-02 10:54:00,6.4,13073,Spain
540801,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,8,2009-12-02 10:54:00,1.61,13073,Spain
540801,71053,WHITE METAL LANTERN,2,2009-12-02 10:54:00,3.66,13073,Spain
540801,23203,JUMBO BAG VINTAGE DOILY,17,2009-12-02 10:54:00,1.87,13073,Spain
540801,22138,BAKING SET 9 PIECE RETROSPOT,12,2009-12-02 10:54:00,5.18,13073,Spain
537135,22960,JAM MAKING SET WITH JARS,7,2009-12-02 11:49:00,4.41,12468,United Kingdom
537135,22138,BAKING SET 9 PIECE RETROSPOT,18,2009-12-02 11:49:00,5.0,12468,United Kingdom
537135,21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,2009-12-02 11:49:00,4.32,12468,United Kingdom
537928,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2009-12-02 12:44:00,3.64,12627,United Kingdom
537928,22138,BAKING SET 9 PIECE RETROSPOT,15,2009-12-02 12:44:00,5.41,12627,United Kingdom
537928,84879,ASSORTED COLOUR BIRD ORNAMENT,13,2009-12-02 12:44:00,1.61,12627,United Kingdom
537928,22423,REGENCY CAKESTAND 3 TIER,11,2009-12-02 12:44:00,12.16,12627,United Kingdom
537928,21506,FANCY FONT BIRTHDAY CARD,10,2009-12-02 12:44:00,0.39,12627,United Kingdom
537928,21754,HOME BUILDING BLOCK WORD,11,2009-12-02 12:44:00,6.4,12627,United Kingdom
537928,22138,BAKING SET 9 PIECE RETROSPOT,15,2009-12-02 12:44:00,4.67,12627,United Kingdom
537928,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2009-12-02 12:44:00,1.6,12627,United Kingdom
537080,22752,SET 7 BABUSHKA NESTING BOXES,15,2009-12-02 14:59:00,6.92,12454,United Kingdom
537080,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,2009-12-02 14:59:00,4.31,12454,United Kingdom
537080,22752,SET 7 BABUSHKA NESTING BOXES,9,2009-12-02 14:59:00,8.39,12454,United Kingdom
537080,22197,SMALL POPCORN HOLDER,5,2009-12-02 14:59:00,0.87,12454,United Kingdom
537080,22197,SMALL POPCORN HOLDER,7,2009-12-02 14:59:00,0.79,12454,United Kingdom
537080,84879,ASSORTED COLOUR BIRD ORNAMENT,15,2009-12-02 14:59:00,1.6,12454,United Kingdom
537080,84029E,RED WOOLLY HOTTIE WHITE HEART,16,2009-12-02 14:59:00,3.61,12454,United Kingdom
542438,84029E,RED WOOLLY HOTTIE WHITE HEART,10,2009-12-03 09:37:00,3.92,,Portugal
540429,84406B,CREAM CUPID HEARTS COAT HANGER,6,2009-12-03 13:05:00,2.48,13010,EIRE
540429,84406B,CREAM CUPID HEARTS COAT HANGER,3,2009-12-03 13:05:00,2.9,13010,EIRE
540429,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2009-12-03 13:05:00,2.55,13010,EIRE
540429,21506,FANCY FONT BIRTHDAY CARD,8,2009-12-03 13:05:00,0.45,13010,EIRE
540429,21754,HOME BUILDING BLOCK WORD,11,2009-12-03 13:05:00,5.56,13010,EIRE
540196,21506,FANCY FONT BIRTHDAY CARD,4,2009-12-03 13:20:00,0.39,12964,EIRE
540196,71053,WHITE METAL LANTERN,15,2009-12-03 13:20:00,3.21,12964,EIRE
540196,84406B,CREAM CUPID HEARTS COAT HANGER,13,2009-12-03 13:20:00,2.78,12964,EIRE
540196,21754,HOME BUILDING BLOCK WORD,2,2009-12-03 13:20:00,5.81,12964,EIRE
540196,21754,HOME BUILDING BLOCK WORD,6,2009-12-03 13:20:00,5.68,12964,EIRE
537993,22423,REGENCY CAKESTAND 3 TIER,11,2009-12-03 13:57:00,11.81,12638,Belgium
537993,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2009-12-03 13:57:00,2.52,12638,Belgium
